2025-09-24	block/goose	agent	AGENTS.md	AGENTS.md	89	1	2230	89	0	35	13	0	19	0	0	0
2025-09-24	block/goose	contrib	CONTRIBUTING.md	CONTRIBUTING.md	264	26	2230	360	214	29	20	1	18	13	3	3
2025-09-24	cline/cline	intro	README.md	README.md	146	62	2825	266	228	0	0	4	10	10	0	0
2025-09-24	cline/cline	contrib	CONTRIBUTING.md	CONTRIBUTING.md	223	16	2825	304	81	0	0	17	10	10	7	6
2025-09-24	denoland/deno	intro	README.md	README.md	109	6	1967	17	8	9	1	0	6	21	1	1
2025-09-24	evanw/esbuild	intro	README.md	README.md	39	0	149	0	0	0	0	1	1	12	0	0
2025-09-24	evanw/esbuild	arch	docs/architecture.md	docs/architecture.md	579	0	149	0	0	166	0	0	20	28	7	1
2025-09-24	ghostty-org/ghostty	intro	README.md	README.md	196	20	3339	141	772	1	0	2	11	9	0	0
2025-09-24	ghostty-org/ghostty	agent	AGENTS.md	AGENTS.md	23	2	3339	24	1	0	0	0	4	1	4	4
2025-09-24	ghostty-org/ghostty	contrib	CONTRIBUTING.md	CONTRIBUTING.md	144	16	3339	412	268	0	0	0	12	8	0	0
2025-09-24	helix-editor/helix	intro	README.md	README.md	64	1	974	1	1	0	0	0	5	24	0	0
2025-09-24	helix-editor/helix	arch	docs/architecture.md	docs/architecture.md	128	1	974	16	0	0	0	0	6	3	3	3
2025-09-24	jj-vcs/jj	intro	README.md	README.md	355	16	2837	67	53	0	0	7	18	30	1	1
2025-09-24	jj-vcs/jj	arch	docs/technical/architecture.md	docs/technical/architecture.md	230	5	2837	17	32	0	0	0	23	4	7	0
2025-09-24	neovim/neovim	intro	README.md	README.md	124	1	3008	1	1	0	0	2	0	22	2	0
2025-09-24	neovim/neovim	contrib	CONTRIBUTING.md	CONTRIBUTING.md	373	5	3008	10	10	7	3	0	13	17	13	13
2025-09-24	nushell/nushell	intro	README.md	README.md	237	5	1294	60	60	61	0	0	66	53	0	0
2025-09-24	nushell/nushell	contrib	CONTRIBUTING.md	CONTRIBUTING.md	308	4	1294	78	6	11	2	1	23	26	1	0
2025-09-24	openai/codex	intro	README.md	README.md	104	73	1299	1627	1522	3	1	3	7	29	0	0
2025-09-24	openai/codex	agent	AGENTS.md	AGENTS.md	67	18	1299	80	13	0	0	0	8	0	3	2
2025-09-24	oxc-project/oxc	intro	README.md	README.md	302	11	6244	46	68	2	2	8	25	52	0	0
2025-09-24	oxc-project/oxc	arch	ARCHITECTURE.md	ARCHITECTURE.md	394	1	6244	394	0	17	0	4	53	6	0	0
2025-09-24	oxc-project/oxc	agent	AGENTS.md	AGENTS.md	299	11	6244	680	381	42	27	1	36	1	36	19
2025-09-24	oxc-project/oxc	contrib	CONTRIBUTING.md	CONTRIBUTING.md	9	0	6244	0	0	0	0	0	1	3	0	0
2025-09-24	pydantic/pydantic-ai	intro	README.md	README.md	201	23	1188	343	209	101	0	0	19	30	0	0
2025-09-24	pydantic/pydantic-ai	agent	AGENTS.md	CLAUDE.md	161	9	1188	179	18	28	0	4	17	0	18	16
2025-09-24	redis/redis	intro	README.md	README.md	841	5	462	927	611	27	14	54	29	103	0	0
2025-09-24	redis/redis	contrib	CONTRIBUTING.md	CONTRIBUTING.md	118	1	462	3	3	0	0	3	3	0	0	0
2025-09-24	rolldown/rolldown	intro	README.md	README.md	92	9	3003	24	18	0	0	0	5	36	0	0
2025-09-24	rolldown/rolldown	agent	AGENTS.md	AGENTS.md	7	3	3003	143	136	0	0	0	2	0	2	2
2025-09-24	rolldown/rolldown	contrib	CONTRIBUTING.md	CONTRIBUTING.md	7	0	3003	0	0	0	0	0	1	0	0	0
2025-09-24	rust-lang/rust-analyzer	intro	README.md	README.md	64	4	1810	22	8	0	0	1	6	7	0	0
2025-09-24	rust-lang/rust-analyzer	arch	docs/book/src/contributing/architecture.md	docs/book/src/contributing/architecture.md	519	2	1810	520	1	27	0	5	37	18	41	33
